initial_position,initial_velocity,mass,time,location
7792,62,114,62,-7238.040000000001
4185,71,507,3,4353.81
1622,34,834,27,-1039.3900000000003
5852,76,151,55,-4820.75
8911,45,460,20,7847.0
6736,55,290,30,3967.0
9151,3,297,65,-11398.75
1049,43,28,80,-26935.0
9066,77,728,77,-14116.39
4327,49,764,79,-22445.31
533,58,600,42,-5692.24
7998,75,640,66,-8439.96
9132,40,481,97,-33186.19
1519,8,567,43,-7215.59
426,81,572,17,384.01
6599,78,805,10,6888.0
6638,62,737,16,6373.04
1582,22,165,97,-42482.19
2972,84,951,90,-29239.0
3167,45,793,51,-7308.91
5304,31,788,9,5185.29
9713,23,247,60,-6583.0
5540,90,581,43,331.40999999999985
8553,26,77,78,-19291.440000000002
9266,50,216,54,-2351.5600000000013
2784,87,521,78,-20302.440000000002
4385,52,656,33,754.0100000000002
3916,9,85,59,-12644.71
5823,89,788,60,-6513.0
220,72,800,21,-433.30999999999995
8191,56,492,52,-2173.6400000000012
8842,40,958,1,8877.09
5712,99,961,18,5903.16
7520,15,624,53,-5477.1900000000005
3494,92,430,25,2725.25
1537,94,74,95,-33845.75
8896,46,331,61,-6568.110000000001
1048,67,229,47,-6649.1900000000005
3891,21,134,59,-11961.71
2726,83,548,30,797.0
5224,65,367,22,4277.5599999999995
2900,32,841,31,-826.5100000000002
2434,21,748,42,-5345.24
4376,88,278,53,-4752.1900000000005
2219,29,819,36,-3100.3600000000006
1350,77,941,39,-3115.1100000000006
7854,13,360,7,7704.41
977,75,432,77,-22359.39
4818,59,6,28,2620.56
9556,50,722,69,-10370.510000000002
4374,80,589,12,4626.96
150,84,569,81,-25260.510000000002
2132,53,340,95,-37145.75
1035,17,734,26,-1842.1600000000003
1087,50,122,92,-35871.24
5861,94,336,32,3841.16
5030,79,486,92,-29260.239999999998
969,49,98,45,-6768.75
7708,63,264,14,7627.64
9530,18,236,69,-12604.510000000002
5349,88,703,62,-8069.040000000001
2716,16,895,67,-18252.99
8648,43,483,6,8729.24
2037,94,969,98,-35906.64
3395,71,664,37,-699.79
8284,50,361,22,7007.5599999999995
1281,62,292,84,-28155.96
1272,10,582,55,-13030.75
9541,46,199,69,-10661.510000000002
7065,46,228,14,6746.64
2478,76,574,53,-7286.1900000000005
2911,29,682,85,-30098.75
2777,99,349,32,917.1599999999999
7077,18,483,28,3731.56
9622,97,455,35,7002.25
3932,86,234,1,4013.09
7102,42,33,45,-950.75
8014,38,389,99,-36346.91
6505,63,216,15,6345.25
8639,71,891,84,-20041.96
1277,26,306,99,-44271.91
8434,11,260,50,-3291.0
266,74,305,46,-6719.5599999999995
1276,27,155,74,-23613.16
4730,75,283,56,-6467.76
6405,1,959,20,4461.0
2805,54,760,1,2854.09
555,8,983,32,-4216.84
4758,18,272,85,-29186.75
6291,73,49,73,-14545.39
673,99,441,39,-2934.1100000000006
7665,61,105,88,-24990.04
6963,99,397,58,-3812.2400000000016
325,91,518,29,-1165.3100000000004
7265,85,183,38,3404.96
3294,51,845,85,-27845.75
7060,83,531,14,7259.64
4904,6,661,15,3889.25
6984,43,324,4,7077.44
773,56,746,95,-38219.75
3108,91,442,94,-31722.760000000002
8152,86,983,95,-27990.75
1086,67,921,66,-15879.96
8027,75,431,92,-26631.239999999998
4528,4,480,48,-6592.639999999999
8844,49,471,77,-16494.39
2400,86,46,29,764.6899999999996
2119,20,21,21,373.69000000000005
1215,88,711,47,-5495.1900000000005
3284,57,596,36,-1027.3600000000006
207,68,564,78,-24361.440000000002
8009,60,890,27,6049.61
2376,19,534,64,-16519.36
2204,68,834,35,-1430.75
1568,80,710,53,-7984.1900000000005
9353,52,868,74,-13686.16
1902,33,68,83,-29183.989999999998
4491,3,821,62,-14197.04
9351,81,954,50,1126.0
9346,35,140,43,1772.4099999999999
4410,67,702,37,167.21000000000004
6168,44,460,7,6235.41
14,97,713,79,-22966.31
838,22,692,44,-7699.76
1971,80,872,23,1213.6100000000001
1976,80,988,50,-6299.0
1372,39,367,7,1404.41
8434,90,105,13,8774.21
647,58,436,98,-40824.64
5729,30,304,54,-6968.560000000001
5813,55,463,46,-2046.5599999999995
4958,3,101,99,-42867.91
2493,26,481,44,-5868.76
9795,36,63,9,9721.29
6459,40,360,32,2711.16
3770,20,386,23,1632.6100000000001
7598,61,709,53,-2961.1900000000005
419,15,167,49,-10634.91
1315,73,818,25,71.25
4157,39,908,56,-9056.76
1238,22,686,37,-4669.79
1506,53,970,85,-29463.75
4076,1,122,83,-29665.989999999998
8720,55,20,37,4033.21
8689,98,983,60,-3107.0
5477,16,61,84,-27823.96
4161,5,228,83,-29248.989999999998
8621,22,529,43,488.40999999999985
5455,17,173,79,-23845.31
3700,45,856,45,-4217.75
1101,64,878,22,132.55999999999995
6608,78,163,93,-28604.590000000004
5996,48,149,34,1952.04
5722,28,782,74,-19093.16
4998,46,497,89,-29800.11
620,87,223,94,-34586.76
3240,35,695,55,-9687.75
5050,72,652,41,-251.71000000000095
2259,76,984,42,-3210.24
2327,48,639,93,-35675.590000000004
3667,93,517,46,-2444.5599999999995
4447,48,58,20,3443.0
9414,52,414,16,8989.04
4664,17,560,8,4485.76
5682,4,493,4,5619.44
419,56,821,7,570.41
4241,67,916,23,3184.61
231,16,396,9,-22.710000000000036
806,51,475,40,-5010.0
2532,59,791,49,-6365.91
8321,22,26,15,7546.25
8029,46,143,12,7873.96
8529,96,404,45,2906.25
3052,84,428,77,-19591.39
8911,3,175,92,-32371.239999999998
1483,68,788,92,-33819.24
186,53,435,16,-222.96000000000004
6508,86,536,94,-28792.760000000002
3211,68,370,1,3274.09
9729,33,442,20,8425.0
3926,59,730,58,-9169.240000000002
330,79,476,26,-935.1600000000003
5216,12,664,12,4652.96
9657,62,727,32,6613.16
1404,67,619,51,-7949.91
5122,90,777,87,-24211.79
1666,76,726,73,-18951.39
9014,14,982,63,-9591.79
325,15,915,94,-41649.76
4395,9,485,4,4352.44
2482,32,161,71,-19997.31
1338,92,282,89,-29366.11
3531,99,533,23,3210.61
2259,66,194,51,-7145.91
1313,27,603,45,-7414.75
6682,85,190,52,-2174.6400000000012
8435,57,772,55,-3282.75
4458,47,951,7,4546.41
792,69,235,89,-31959.11
7383,26,46,5,7390.25
5474,2,991,62,-13276.04
6148,81,241,77,-16726.39
4106,41,20,79,-23298.31
5286,36,431,51,-5648.91
2193,8,618,79,-27818.31
1179,57,686,37,-3433.79
6133,55,143,60,-8243.0
7700,84,30,73,-12333.39
6578,16,94,13,5956.21
7779,45,625,37,2722.21
7310,92,678,90,-24181.0
5216,84,376,24,4403.84
2072,96,350,5,2429.25
6874,94,566,93,-26850.590000000004
7743,32,689,8,7684.76
1917,24,334,19,600.49
5040,80,178,27,3620.6099999999997
4429,37,911,87,-29515.79
2427,36,518,61,-13647.11
7789,88,974,75,-13229.75
6496,54,874,80,-20608.0
6476,66,108,50,-2499.0
5689,28,86,96,-36873.56
8211,91,38,57,-2554.59
1888,64,701,48,-6352.639999999999
6685,63,834,51,-2872.91
3204,68,955,4,3397.44
8960,53,782,9,9039.29
7650,69,735,3,7812.81
3189,20,677,36,-2454.3600000000006
9632,77,546,49,1616.0900000000001
3402,3,103,11,2840.89
9000,27,564,47,-577.1900000000005
6044,36,283,55,-6828.75
4995,83,492,70,-13254.0
4680,48,413,85,-26714.75
5523,75,127,12,5715.96
895,22,567,46,-8482.56
3822,65,566,54,-6985.560000000001
2625,87,589,31,603.4899999999998
559,67,165,11,701.89
2875,11,353,86,-32493.36
9260,28,156,87,-25467.79
9024,43,286,80,-18960.0
3416,84,664,11,3745.89
7402,55,313,46,-457.5599999999995
7535,99,496,35,4985.25
3383,87,408,7,3751.41
6829,50,121,68,-12474.84
3782,89,844,44,-1807.7600000000002
6067,55,558,85,-24732.75
6327,52,185,23,4925.610000000001
2447,24,415,77,-24816.39
5069,34,872,32,1129.1599999999999
9597,4,3,61,-8429.11
3325,43,300,70,-17724.0
4395,18,179,5,4362.25
5713,11,271,5,5645.25
4260,62,472,96,-35038.56
4277,8,965,85,-30517.75
6863,70,882,79,-18250.31
4492,3,498,71,-20046.31
3140,3,584,34,-2433.96
7327,54,578,12,7267.96
5305,71,623,19,4881.49
610,13,543,37,-5630.79
3320,37,671,27,739.6099999999997
5154,42,541,19,4179.49
27,98,757,58,-10806.240000000002
6577,73,721,79,-18299.31
5231,44,83,80,-22673.0
3021,82,39,36,-390.3600000000006
9894,53,886,33,6296.01
9874,15,556,54,-3633.5600000000013
7211,2,560,66,-14044.96
7878,12,698,38,1243.96
1692,99,27,76,-19144.16
3809,24,952,95,-38223.75
5012,31,520,12,4676.96
5153,78,394,32,2621.16
9827,38,948,55,-2935.75
558,64,233,96,-38548.56
4062,38,285,23,2338.61
682,27,947,81,-29345.510000000002
7157,13,808,75,-19486.75
2383,78,327,93,-32829.590000000004
6225,42,624,37,1057.21
203,97,164,87,-28521.79
366,97,193,40,-3610.0
7413,58,230,23,6149.610000000001
4075,74,611,67,-13007.990000000002
432,17,208,24,-1988.1599999999999
2240,2,687,76,-25968.16
3451,36,948,98,-40176.64
6104,96,10,39,2379.8899999999994
5599,97,897,7,6037.41
9501,63,86,14,9420.64
489,72,605,34,-2738.96
8672,83,117,88,-22047.04
2899,62,838,50,-6276.0
1437,53,23,49,-7754.91
7123,78,734,21,6595.6900000000005
137,21,7,7,43.41
9477,52,826,95,-29895.75
7767,43,312,75,-16626.75
5198,54,687,12,5138.96
7749,24,848,73,-16664.39
7396,53,451,44,222.23999999999978
3586,95,555,87,-25312.79
2699,92,154,65,-12065.75
1393,49,94,47,-7150.1900000000005
2135,37,325,90,-34306.0
1245,78,870,78,-22543.440000000002
5783,79,126,68,-11548.84
3691,76,452,33,852.0100000000002
1062,67,570,76,-22206.16
9966,56,37,61,-4888.110000000001
8225,7,975,9,7890.29
392,4,802,6,239.24
9770,42,1,46,1312.4400000000005
6651,91,300,58,-4588.240000000002
681,51,662,9,742.29
6417,54,952,19,5670.49
2323,69,209,67,-15094.990000000002
9132,66,150,38,4549.96
9562,41,442,21,8257.69
9392,4,964,56,-5781.76
4565,75,952,51,-4380.91
6797,25,216,55,-6680.75
1341,36,766,33,-2817.99
575,92,64,93,-33335.590000000004
3078,52,1,43,-3764.59
9864,89,712,9,10267.29
9220,56,421,92,-27186.239999999998
5831,34,601,16,5118.04
5368,40,504,83,-25136.989999999998
6850,5,451,31,2286.49
2803,23,313,83,-29112.989999999998
5021,58,548,74,-17574.16
7148,66,767,86,-23490.36
4538,53,769,89,-29637.11
1679,38,395,35,-3005.75
744,88,795,95,-35208.75
8495,73,449,32,5803.16
9916,87,29,83,-16687.989999999998
8328,20,35,14,7645.64
4831,81,748,54,-5112.560000000001
4653,47,803,83,-25270.989999999998
9063,32,46,83,-22105.989999999998
5237,20,76,21,3491.69
7769,71,629,3,7937.81
3261,39,627,40,-3035.0
3451,23,348,9,3260.29
1489,89,555,9,1892.29
562,25,395,87,-34426.79
2570,6,331,37,-3929.79
2159,11,427,43,-6446.59
7563,71,262,57,-4342.59
8036,40,655,25,5967.25
9776,61,86,25,8232.25
2086,49,911,20,1102.0
9168,96,332,94,-25192.760000000002
1679,93,757,6,2060.24
648,64,359,94,-36720.76
1461,82,816,1,1538.09
5394,50,161,16,4937.04
1618,30,909,99,-43534.91
4917,74,388,69,-13353.510000000002
314,25,234,68,-20689.84
3579,76,236,51,-5315.91
3159,27,233,22,1376.56
9432,68,536,10,9621.0
2640,5,397,98,-44025.64
3386,86,128,28,1944.56
1914,39,244,88,-32677.04
4504,98,859,17,4751.01
7627,92,575,57,-3081.59
4152,51,467,1,4198.09
9329,29,874,38,3340.96
6595,2,403,71,-18014.31
8299,34,400,84,-23489.96
1113,1,772,90,-38568.0
7377,21,492,75,-18666.75
8757,17,569,78,-19789.440000000002
7896,61,399,49,-903.9099999999999
868,85,651,29,-796.3100000000004
3667,85,473,38,-193.03999999999996
2525,30,742,70,-19434.0
3215,64,409,96,-35891.56
3593,27,163,4,3622.44
3397,8,957,17,2114.01
9657,72,460,28,7823.5599999999995
3775,52,582,5,3912.25
3004,90,594,50,-4771.0
1478,57,204,3,1604.81
5838,10,90,26,2778.8399999999997
9217,82,692,56,-1588.7600000000002
2847,34,188,56,-10646.76
1347,31,477,37,-4227.79
6953,9,118,79,-22979.31
6382,50,299,53,-4760.1900000000005
1894,63,827,88,-30585.04
3386,46,817,49,-6148.91
8209,19,859,79,-20933.31
9593,35,130,82,-20551.840000000004
7616,22,762,7,7529.41
9026,81,7,5,9308.25
4782,98,818,80,-18802.0
2492,80,546,32,24.159999999999854
931,41,734,51,-9748.91
4311,44,490,69,-16029.510000000002
3839,1,896,72,-21542.440000000002
538,97,91,94,-33728.76
453,1,191,57,-15442.59
3488,72,452,85,-25866.75
360,54,692,89,-33726.11
270,1,309,70,-23719.0
6506,64,702,22,5537.5599999999995
3739,78,437,84,-24353.96
2453,45,610,54,-9434.560000000001
531,93,336,58,-10592.240000000002
5959,34,182,83,-25043.989999999998
3174,78,243,87,-27203.79
2996,27,728,36,-2395.3600000000006
613,19,758,58,-14802.240000000002
5680,63,99,48,-2608.6399999999994
5228,78,142,11,5491.89
8248,72,210,53,-1728.1900000000005
9612,13,999,90,-28989.0
9774,26,958,83,-21892.989999999998
4326,61,211,10,4445.0
220,50,315,13,40.20999999999992
7808,91,959,95,-27859.75
7769,94,403,44,2399.24
9202,45,505,27,6837.61
2746,76,237,84,-25514.96
1477,87,849,72,-17712.440000000002
978,85,246,77,-21588.39
4119,74,401,54,-6202.560000000001
506,21,228,38,-5786.04
6126,51,514,98,-36031.64
6709,75,881,35,3319.25
1609,34,831,40,-4887.0
4706,45,631,32,1118.1599999999999
5812,20,68,77,-21759.39
7410,56,427,80,-19534.0
6668,96,567,87,-22143.79
140,8,665,56,-14809.76
9556,8,269,24,6919.84
9152,74,857,60,-4084.0
5344,67,955,30,2935.0
6073,24,937,97,-37797.19
8098,22,108,10,7827.0
1989,83,368,94,-33593.76
664,51,358,63,-15610.79
9689,19,384,59,-6281.709999999999
7731,2,285,38,716.96
6672,92,436,64,-7551.360000000001
1137,92,121,46,-5020.5599999999995
3318,37,128,43,-4169.59
7456,77,687,39,2990.8899999999994
3877,96,615,26,3053.8399999999997
5167,94,785,93,-28557.590000000004
2119,67,657,97,-37580.19
5317,69,17,64,-10378.36
9264,54,861,6,9411.24
4369,49,743,59,-9831.71
1538,28,818,89,-34862.11
6235,85,258,84,-21269.96
8596,60,19,22,7539.5599999999995
3792,32,181,17,2917.01
5770,60,95,9,5912.29
4997,51,701,28,2575.56
164,50,939,11,119.88999999999999
5796,96,135,61,-6618.110000000001
3161,74,2,4,3378.44
6665,53,217,31,3589.49
392,47,894,68,-19115.84
6815,90,516,86,-21759.36
6107,87,36,32,3863.16
7548,58,305,21,6600.6900000000005
7193,69,89,3,7355.81
5493,82,421,53,-3953.1900000000005
9996,72,952,29,7954.69
1862,65,480,34,-1603.96
8926,38,400,56,-4343.76
4552,80,440,6,4855.24
8084,40,982,39,2175.8899999999994
6613,5,402,63,-12559.79
4199,63,82,19,3623.49
7949,49,779,68,-11422.84
7967,97,473,71,-9897.310000000001
6452,9,136,75,-20491.75
8075,5,521,97,-37638.19
2083,31,90,27,-659.3900000000003
3927,31,575,87,-30539.79
4236,56,907,19,3527.49
2584,96,105,43,-2366.59
4919,12,580,65,-15045.75
9276,71,591,77,-14368.39
8157,86,259,18,8114.16
426,73,9,65,-15573.75
1217,98,837,67,-14257.990000000002
7439,53,678,72,-14198.440000000002
7882,32,236,51,-3256.91
7387,75,188,94,-28947.760000000002
157,7,622,43,-8620.59
8234,52,374,44,1016.2399999999998
1445,52,183,40,-4331.0
6610,31,144,31,2852.49
3563,69,272,97,-35942.19
7468,46,972,60,-7448.0
7572,62,519,90,-26619.0
3995,55,143,91,-31659.71
472,37,952,26,-1885.1600000000003
6217,88,227,88,-24062.04
4783,77,313,58,-7268.240000000002
5200,47,503,19,4320.49
8481,24,354,33,3926.01
2451,83,934,57,-8770.59
7556,90,218,20,7392.0
6051,9,304,6,5928.24
5310,75,818,71,-14116.310000000001
2371,54,10,72,-19194.440000000002
1580,54,388,20,696.0
3021,16,314,75,-23397.75
7687,25,217,23,5664.610000000001
8095,69,243,8,8332.76
5483,37,883,93,-33542.590000000004
8686,21,827,33,4032.01
2363,41,217,24,518.8400000000001
5914,24,821,41,-1355.710000000001
7283,59,567,85,-23176.75
1225,52,503,3,1336.81
8293,89,358,91,-24267.71
7414,25,326,11,7094.89
6201,61,494,93,-30592.590000000004
4057,74,99,2,4185.36
5158,50,414,35,893.25
8352,98,578,28,7246.5599999999995
9910,58,197,94,-28022.760000000002
6387,44,674,31,3032.49
7933,43,423,75,-16460.75
3472,80,810,43,-2166.59
313,97,882,51,-7510.91
4665,78,238,70,-13934.0
7523,34,136,53,-4467.1900000000005
7303,14,906,41,-376.71000000000095
8232,76,319,79,-16407.31
5573,39,58,38,-35.039999999999964
5722,23,919,25,3228.25
6677,38,152,97,-35835.19
1125,68,147,66,-15774.96
3241,52,370,31,134.48999999999978
529,89,454,69,-16706.510000000002
6301,55,278,94,-31913.760000000002
5513,34,483,34,993.04
5336,51,768,76,-19148.16
5481,45,508,4,5582.44
4215,2,644,88,-33632.04
3941,80,733,68,-13322.84
540,9,111,83,-32537.989999999998
6501,13,553,92,-33861.24
3275,68,977,36,-640.3600000000006
2830,80,410,73,-17495.39
6125,60,265,57,-6407.59
1876,29,814,27,-920.3900000000003
7827,99,774,18,8018.16
7684,64,143,27,5832.61
6049,5,442,97,-39664.19
2577,96,766,44,-2704.76
6548,76,393,71,-12807.310000000001
3765,35,538,48,-5867.639999999999
3916,32,796,34,-671.96
516,19,460,73,-24262.39
5469,12,791,28,1955.56
528,40,925,94,-39096.76
8599,15,861,20,6935.0
9269,81,694,90,-23212.0
2828,86,625,84,-24592.96
9284,36,873,3,9347.81
5271,55,160,11,5281.89
905,47,416,26,-1192.1600000000003
7144,10,515,63,-11713.79
5646,89,993,13,5973.21
764,50,592,33,-2932.99
7465,13,167,73,-17751.39
954,84,969,24,141.84000000000015
8819,59,873,89,-24822.11
6359,2,47,2,6343.36
8229,14,646,1,8238.09
7136,22,38,73,-17423.39
2521,71,508,81,-23942.510000000002
1922,53,330,46,-6029.5599999999995
1602,14,482,8,1399.76
6298,1,835,49,-5441.91
9235,62,203,87,-22534.79
8671,54,96,46,765.4400000000005
7780,89,334,19,7698.49
8304,88,465,75,-12714.75
9040,5,477,54,-5007.560000000001
1235,14,515,41,-6444.710000000001
8071,29,217,68,-12660.84
2412,77,404,84,-25764.96
7014,61,750,91,-28094.71
8391,96,651,14,8772.64
3473,21,248,97,-40688.19
7940,51,355,56,-4601.76
2177,37,214,80,-26287.0
2678,10,108,61,-14982.11
9569,7,874,58,-6542.240000000002
2621,91,218,29,1130.6899999999996
6104,25,918,86,-28060.36
814,82,893,37,-2873.79
6044,98,892,69,-10570.510000000002
9017,47,890,5,9129.25
5482,71,238,75,-16811.75
5143,63,381,58,-7720.240000000002
5535,46,481,6,5634.24
9943,11,839,84,-23777.96
1136,30,661,23,-771.3899999999999
6645,70,382,64,-8986.36
7664,8,710,87,-28803.79
9464,10,838,12,8876.96
968,62,799,95,-37454.75
497,58,305,5,664.25
9569,26,198,34,4777.04
1351,5,603,18,-149.84000000000015
7471,45,858,90,-28250.0
7837,57,971,5,7999.25
2559,38,433,40,-3777.0
897,39,351,20,-287.0
9483,51,392,84,-20877.96
7885,51,925,7,8001.41
617,53,65,47,-7738.1900000000005
108,54,967,82,-28478.840000000004
5984,56,62,53,-4840.1900000000005
4610,33,927,22,2959.56
8789,17,108,99,-37650.91
3735,61,250,83,-25026.989999999998
8742,30,338,87,-25811.79
8535,78,209,42,3149.76
6558,64,392,36,2498.6399999999994
6067,15,121,70,-16942.0
825,21,225,36,-4782.360000000001
4662,33,687,34,108.03999999999996
4234,80,789,6,4537.24
7336,14,471,82,-24530.840000000004
6259,38,502,27,3705.6099999999997
6147,80,5,83,-21037.989999999998
2018,79,515,99,-38283.91
2726,51,695,45,-4921.75
8210,7,271,14,7345.64
5810,2,170,37,-837.79
6288,3,615,52,-6832.640000000001
7397,48,37,69,-12667.510000000002
15,20,393,46,-9454.56
7237,71,586,52,-2347.6400000000012
5124,46,889,6,5223.24
6786,97,823,77,-14856.39
3981,46,214,70,-16858.0
6475,62,925,25,4956.25
3058,54,248,44,-4071.76
7321,95,648,76,-13819.16
7648,78,413,34,4624.04
6083,17,829,18,4798.16
8729,45,588,49,-854.9099999999999
8648,51,465,29,5997.69
712,77,835,2,846.36
8137,39,169,11,7971.89
8438,39,491,75,-16255.75
471,61,783,78,-24643.440000000002
3653,77,491,35,333.25
6720,71,631,43,694.4099999999999
9396,33,345,78,-17902.440000000002
9604,33,568,4,9657.44
1413,14,313,49,-9689.91
2571,12,688,14,1776.6399999999999
5446,10,889,11,4961.89
874,56,409,50,-8601.0
7599,73,540,62,-6749.040000000001
2160,76,181,12,2364.96
8831,81,879,33,6157.01
2557,50,996,22,1280.56
5020,18,755,34,-43.960000000000036
3365,65,389,14,3312.64
6188,37,60,75,-18655.75
9824,33,472,9,9723.29
6378,96,280,96,-29656.559999999998
5796,77,841,51,-3047.91
9584,62,780,92,-26270.239999999998
8956,80,878,68,-8307.84
6824,28,484,91,-31287.71
6590,56,966,89,-27318.11
1762,75,505,22,1035.56
2192,62,3,1,2249.09
5898,66,263,84,-23202.96
1800,36,732,34,-2651.96
7422,1,714,17,6020.01
9695,57,894,35,5675.25
1210,37,378,50,-9215.0
4918,34,824,76,-20858.16
5605,46,55,51,-4819.91
1464,25,450,11,1144.8899999999999
9216,23,196,63,-8822.79
7935,76,264,79,-16704.31
4723,90,988,62,-8571.04
2461,77,839,42,-2966.24
1497,82,835,49,-6273.91
1309,67,14,1,1371.09
3437,12,488,65,-16527.75
1182,1,66,16,-58.960000000000036
7747,17,160,86,-27105.36
1876,14,527,37,-4327.79
2041,91,602,36,-1046.3600000000006
9632,41,818,99,-34431.91
4134,94,939,46,-1931.5599999999995
985,97,738,36,-1886.3600000000006
8157,56,669,87,-24134.79
9725,75,166,46,2785.4400000000005
297,28,667,41,-6808.710000000001
4104,93,180,43,-975.5900000000001
1647,15,690,58,-14000.240000000002
2601,29,303,82,-28035.840000000004
3556,43,120,90,-32345.0
238,94,157,40,-3858.0
8336,28,583,39,1959.8899999999994
8690,73,256,53,-1233.1900000000005
8508,25,472,46,-731.5599999999995
2106,73,555,37,-1914.79
6127,78,169,17,6034.01
6503,35,3,45,-1864.75
2036,35,694,63,-15246.79
8175,48,11,51,-2147.91
949,43,186,9,938.29
3035,17,829,14,2310.64
7807,27,377,62,-9393.04
3488,76,658,48,-4176.639999999999
383,91,150,83,-25888.989999999998
2442,2,281,60,-15114.0
3731,55,461,65,-13438.75
7235,85,468,99,-32472.910000000003
9660,50,401,2,9740.36
5502,58,293,62,-9776.04
1930,28,834,6,1921.24
391,91,270,29,-1099.3100000000004
8536,30,812,75,-16832.75
8766,17,876,15,7916.25
5224,88,258,90,-26627.0
8271,16,377,30,4332.0
6155,6,284,3,6128.81
5032,35,923,12,4744.96
7171,62,717,72,-13818.440000000002
5523,45,355,8,5568.76
6985,45,380,40,929.0
8038,64,349,93,-28476.590000000004
6824,1,977,85,-28565.75
8076,89,790,59,-3764.709999999999
5325,52,64,53,-5711.1900000000005
874,41,301,7,920.41
909,41,306,72,-21592.440000000002
9739,52,566,8,9840.76
4603,49,245,58,-9072.240000000002
9038,75,220,51,92.09000000000015
6247,54,863,63,-9838.79
9993,4,548,3,9960.81
1335,66,743,62,-13447.04
6194,20,670,56,-8083.76
7862,93,522,87,-21210.79
7235,1,107,71,-17445.31
7908,37,338,9,7843.29
3457,19,481,44,-5212.76
8473,98,826,67,-7001.990000000002
756,3,806,78,-28882.440000000002
4953,98,531,40,1017.0
5936,99,811,27,5029.61
7452,60,590,4,7613.44
9113,7,761,52,-3799.6400000000012
5631,1,573,26,2337.8399999999997
2076,53,354,59,-11888.71
1241,45,68,84,-29623.96
9799,7,433,68,-12428.84
1140,46,541,51,-9284.91
8842,92,477,32,6758.16
2427,43,577,63,-14351.79
8469,11,519,72,-16192.440000000002
5698,59,973,33,2298.01
9506,95,108,65,-5063.75
6473,49,704,70,-14156.0
4086,15,640,89,-33471.11
775,98,152,96,-35067.56
